Date,Electricity
06/05/13,48.34
13/05/13,47.57
20/05/13,49.16
27/05/13,48.87
03/06/13,47.73
10/06/13,46.83
17/06/13,47.47
24/06/13,46.76
01/07/13,46.3
08/07/13,46.44
15/07/13,46.45
22/07/13,47.05
29/07/13,47.48
05/08/13,46.66
12/08/13,46.26
19/08/13,46.36
28/08/13,48.75
02/09/13,48.91
09/09/13,49.52
16/09/13,49.41
23/09/13,49.22
30/09/13,51.9
07/10/13,53.69
14/10/13,53.76
21/10/13,53.22
28/10/13,54.51
04/11/13,54.1
11/11/13,54.59
18/11/13,55.91
25/11/13,55
02/12/13,55.72
09/12/13,54.52
16/12/13,54.06
23/12/13,53.23
30/12/13,54.39
06/01/14,52.49
13/01/14,50.67
20/01/14,49.84
27/01/14,48.25
03/02/14,46.02
10/02/14,46.65
17/02/14,45.2
24/02/14,46.27
03/03/14,48.88
10/03/14,46.75
17/03/14,46.65
24/03/14,45.09
31/03/14,41.48
07/04/14,42.72
14/04/14,43.66
21/04/14,41.28
28/04/14,41.58
05/05/14,39.79
12/05/14,40.18
19/05/14,39.04
26/05/14,39.61
02/06/14,37.97
09/06/14,36.86
16/06/14,38.1
23/06/14,36.18
30/06/14,35.79
07/07/14,34.1
14/07/14,35.09
21/07/14,34.99
28/07/14,38.82
04/08/14,36.64
11/08/14,38.04
18/08/14,39
25/08/14,37.86
01/09/14,45.87
08/09/14,45.53
15/09/14,45.76
22/09/14,45.06
29/09/14,46.05
06/10/14,47.85
13/10/14,47.83
20/10/14,47.25
27/10/14,47.27
03/11/14,48.55
10/11/14,48.1
17/11/14,47.21
24/11/14,48.21
01/12/14,48.02
08/12/14,46.56
15/12/14,45.66
22/12/14,44.81
29/12/14,43.53
05/01/15,41.63
12/01/15,40.47
19/01/15,38.75
26/01/15,38.93
02/02/15,39.43
09/02/15,40.1
16/02/15,42.09
23/02/15,40.33
02/03/15,43.39
09/03/15,42.92
16/03/15,42.43
23/03/15,42.6
30/03/15,45.07
06/04/15,43.59
13/04/15,43.18
20/04/15,42.1
27/04/15,41.79
04/05/15,41.11
11/05/15,41
18/05/15,41.04
25/05/15,40.69
01/06/15,40.5
08/06/15,41.88
15/06/15,41.2
22/06/15,41.87
29/06/15,41.07
06/07/15,40.98
13/07/15,41.89
20/07/15,41.41
27/07/15,41.2
03/08/15,40.61
10/08/15,40.6
17/08/15,40.3
24/08/15,39.82
31/08/15,41.8
07/09/15,41.76
14/09/15,41.5
21/09/15,40.82
28/09/15,40.9
05/10/15,42
12/10/15,41.28
19/10/15,41.39
26/10/15,40.1
02/11/15,39.54
09/11/15,38.49
16/11/15,38.61
23/11/15,38.32
30/11/15,39.17
07/12/15,38.83
14/12/15,37.15
21/12/15,35.61
28/12/15,38.61
04/01/16,36.59
11/01/16,37.24
18/01/16,35.6
25/01/16,34.03
01/02/16,32.82
08/02/16,31.94
15/02/16,31.28
22/02/16,32.8
29/02/16,33.48
07/03/16,32.8
14/03/16,34.02
21/03/16,34.57
28/03/16,35.52
04/04/16,31.2
11/04/16,31.03
18/04/16,31.35
25/04/16,33.42
02/05/16,31.4
09/05/16,32.74
16/05/16,33.13
23/05/16,32.27
30/05/16,34.64
06/06/16,35.84
13/06/16,34.95
20/06/16,36.62
27/06/16,36.55
04/07/16,37.68
11/07/16,36.83
18/07/16,36.17
25/07/16,38.7
01/08/16,39.71
08/08/16,38.08
15/08/16,36.24
22/08/16,37.1
29/08/16,36.34
05/09/16,38.95
12/09/16,40.44
19/09/16,41.88
26/09/16,44.72
03/10/16,54.57
10/10/16,63.68
17/10/16,63.65
24/10/16,65.78
31/10/16,74.85
07/11/16,75.3
14/11/16,75.35
21/11/16,64.03
28/11/16,63.12
05/12/16,51.27
12/12/16,50.75
19/12/16,51.19
26/12/16,56.14
02/01/17,55.03
09/01/17,53.65
16/01/17,53.63
23/01/17,52.46
30/01/17,54.19
06/02/17,54.53
13/02/17,47.8
20/02/17,47.32
27/02/17,45.38
06/03/17,43.74
13/03/17,42.11
20/03/17,42.02
27/03/17,40.1
03/04/17,40.9
10/04/17,39.78
17/04/17,40.28
24/04/17,40.55
01/05/17,39.7
08/05/17,37.75
15/05/17,37.73
22/05/17,38.45
29/05/17,39.64
05/06/17,39.65
12/06/17,38.79
19/06/17,40.14
26/06/17,41.36
03/07/17,40.45
10/07/17,39.44
17/07/17,38.94
24/07/17,39.4
31/07/17,44.69
07/08/17,46.42
14/08/17,48.31
21/08/17,49.3
28/08/17,49.63
04/09/17,46.15
11/09/17,47.27
18/09/17,46.35
25/09/17,46.05
02/10/17,51.73
09/10/17,53.28
16/10/17,52.59
23/10/17,50.67
30/10/17,50.79
06/11/17,52.39
13/11/17,54.04
20/11/17,52.64
27/11/17,55.3
04/12/17,56.32
11/12/17,57.16
18/12/17,56.02
25/12/17,55.19
01/01/18,52.87
08/01/18,51.79
15/01/18,52.03
22/01/18,50.37
29/01/18,48.32
05/02/18,47.63
12/02/18,48.64
19/02/18,51.2
26/02/18,49.24
05/03/18,46.86
12/03/18,51.38
19/03/18,48.79
26/03/18,48.12
02/04/18,47.39
09/04/18,48.56
16/04/18,49.41
23/04/18,50.61
30/04/18,52.47
07/05/18,51.69
14/05/18,53.98
21/05/18,55.34
28/05/18,56.46
04/06/18,54.8
11/06/18,53.09
18/06/18,53.78
25/06/18,52.42
02/07/18,54.87
09/07/18,57.09
16/07/18,55.44
23/07/18,56.84
30/07/18,57.53
06/08/18,59.5
13/08/18,61.39
20/08/18,68.69
27/08/18,66.76
03/09/18,67.41
10/09/18,72.25
17/09/18,68.34
24/09/18,72.68
01/10/18,70.58
08/10/18,69.74
15/10/18,67.58
22/10/18,67.21
29/10/18,65.02
05/11/18,62.13
12/11/18,67.64
19/11/18,63.96
26/11/18,63.49
03/12/18,66.94
10/12/18,63.81
17/12/18,67.9
24/12/18,69.13
31/12/18,63.23
07/01/19,60.72
14/01/19,61.43
21/01/19,61.89
28/01/19,58.33
04/02/19,53.36
11/02/19,51.56
18/02/19,49.2
25/02/19,47.36
04/03/19,48.2
11/03/19,46.82
18/03/19,43.85
25/03/19,42.67
01/04/19,39.76
08/04/19,46.35
15/04/19,43.98
22/04/19,43.05
29/04/19,43.18
06/05/19,42.36
13/05/19,42.38
20/05/19,41.02
27/05/19,40.82
03/06/19,39.47
10/06/19,39.98
17/06/19,39.67
24/06/19,38.7
01/07/19,38.35
08/07/19,41.67
15/07/19,44.66
22/07/19,39.75
29/07/19,39.64
05/08/19,43.46
12/08/19,43.29
19/08/19,41.31
26/08/19,39.51
02/09/19,40.45
09/09/19,41.07
16/09/19,47.63
23/09/19,41.91
30/09/19,50.2
07/10/19,48.17
14/10/19,49.18
21/10/19,48.27
28/10/19,44.83
04/11/19,49.58
11/11/19,47.85
18/11/19,45.91
25/11/19,47.81
02/12/19,48.49
09/12/19,46.15
16/12/19,43.82
23/12/19,44.03
30/12/19,41.24
06/01/20,40.38
13/01/20,40.13
20/01/20,37.33
27/01/20,36.98
03/02/20,32.78
10/02/20,31.4
17/02/20,32.75
24/02/20,33.16
02/03/20,32.97
09/03/20,32.39
16/03/20,32.68
23/03/20,29.36
30/03/20,24.63
06/04/20,25.7
13/04/20,24.98
20/04/20,25
27/04/20,24.26
04/05/20,25.03
11/05/20,25.43
18/05/20,24.99
25/05/20,24.78
01/06/20,24.55
08/06/20,27.41
15/06/20,28.26
22/06/20,29.69
29/06/20,31.59
06/07/20,33.08
13/07/20,31
20/07/20,29.37
27/07/20,30.24
03/08/20,34.52
10/08/20,38.18
17/08/20,37.59
24/08/20,38.39
31/08/20,43.26
07/09/20,42.6
14/09/20,42.85
21/09/20,43.71
28/09/20,44.66
05/10/20,50.46
12/10/20,49.09
19/10/20,49.44
26/10/20,49.82
02/11/20,46.58
09/11/20,46.91
16/11/20,47.26
23/11/20,45.27
30/11/20,54.21
07/12/20,53.97
14/12/20,57.82
21/12/20,59.57
28/12/20,68.17
04/01/21,67.81
11/01/21,74.35
18/01/21,68.2
25/01/21,66.53
01/02/21,56.62
08/02/21,61.35
15/02/21,53.55
22/02/21,51.82
01/03/21,51.6
08/03/21,51.89
15/03/21,56.45
22/03/21,56.33
29/03/21,57.12
05/04/21,57.73
12/04/21,58.72
19/04/21,61.6
26/04/21,62.89
03/05/21,68.63
10/05/21,71.78
17/05/21,76.49
24/05/21,75.15
31/05/21,75.49
07/06/21,74.24
14/06/21,77.44
21/06/21,78.06
28/06/21,84.69
05/07/21,93.44
12/07/21,86.4
19/07/21,89.8
26/07/21,92.4
02/08/21,103.85
09/08/21,105.26
16/08/21,112.75
23/08/21,103.03
30/08/21,121.58
06/09/21,126.41
13/09/21,146.09
20/09/21,176.47
27/09/21,201.26
04/10/21,248.04
11/10/21,228.97
18/10/21,233.4
25/10/21,214.95
01/11/21,171.8
08/11/21,188.48
15/11/21,196.02
22/11/21,220.34
29/11/21,259.34
06/12/21,300.9
13/12/21,351.54
20/12/21,490.28
27/12/21,265.17
03/01/22,276.45
10/01/22,236.75
17/01/22,200.42
24/01/22,220.11
31/01/22,191.24
07/02/22,179.17
14/02/22,179.47
21/02/22,169.11
28/02/22,211.09
07/03/22,407.71
14/03/22,239.34
21/03/22,218.93
28/03/22,220.4
04/04/22,213.48
11/04/22,193.12
18/04/22,169.29
25/04/22,161.87
02/05/22,168.94
09/05/22,155.46
16/05/22,179.48
23/05/22,150.58
30/05/22,170.69
06/06/22,164.64
13/06/22,162.62
20/06/22,203.06
27/06/22,195.16
04/07/22,262.55
11/07/22,251.57
18/07/22,226.03
25/07/22,286.7
01/08/22,338.59
08/08/22,339.47
15/08/22,377.21
22/08/22,480.3
29/08/22,430.01
05/09/22,465
12/09/22,322.39
19/09/22,280.85
26/09/22,282
03/10/22,518.46
10/10/22,482.56
17/10/22,331.12
24/10/22,224.73
31/10/22,323.16
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,